C1	C2	IL8_1	IL8_2
ENSMUSG00000067336	1737.89902104525	1694.65675451833	1658.06105981162	1538.22642882546
ENSMUSG00000041040	349.142230714831	378.473341842427	916.262892756381	879.180653224446
ENSMUSG00000026019	344.935697814652	353.053490524652	285.605217629281	262.259452971125
ENSMUSG00000026017	152.036117677887	137.455492310931	118.894479737076	105.990867003874
ENSMUSG00000073664	1225.3029404949	1115.6490300579	1287.161976284	1183.56468154326
ENSMUSG00000049439	494.568082406722	489.56750686085	550.533134434722	540.825193173616
ENSMUSG00000026782	322.100233499396	351.170538575187	373.483746130598	375.044606321402
ENSMUSG00000026014	1393.56425650205	1244.63123859624	2750.08100957063	2656.56596144326
ENSMUSG00000101188	192.298646865311	263.613272925073	268.804910709911	258.182881163284
ENSMUSG00000026012	53.4830611594147	43.3078948376906	20.6773008238393	25.8182881163284
ENSMUSG00000052062	73.3138591173999	64.9618422565359	41.3546016476787	35.3302890012915
ENSMUSG00000025969	4948.08455715304	4681.01854636951	6534.02706033323	6628.50575954999
ENSMUSG00000103032	39.6615959159704	47.0737987366202	45.2315955521486	43.4834326169741
ENSMUSG00000040865	768.593654189791	836.972141537108	1098.48160626646	1019.14295196033
ENSMUSG00000084799	21.6335977723475	24.4783753430425	24.5542947283092	17.6651445006457
ENSMUSG00000101599	45.0699953590573	54.6056065344794	27.1389573312891	14.9474299620849
ENSMUSG00000025968	1361.11385984353	1484.707612153	944.69418138916	970.224090266235
ENSMUSG00000025967	3502.23910603448	3912.77415098787	3781.36138815962	3841.48950025581
ENSMUSG00000025964	93.1446570753851	95.0890734479728	99.5095102147268	66.5840061947416
ENSMUSG00000025962	222.345310438016	239.134897582031	202.896014333924	186.16344589142
ENSMUSG00000025959	261.405973082532	254.198513177749	413.546016476787	360.097176359317
ENSMUSG00000025958	756.574988760709	725.877976518684	993.802770845778	892.76922591725
ENSMUSG00000025956	626.172468855169	637.379234893838	872.323628505722	832.979506068911
ENSMUSG00000070871	300.466635727049	320.101831409018	377.360740035068	406.298323514852
ENSMUSG00000045005	269.81903888289	260.788845000876	288.189880232261	225.570306700553
ENSMUSG00000051344	299.264769184141	308.804119712229	458.777612028935	474.241186978874
ENSMUSG00000084416	156.843583849519	208.066190415861	222.280983856273	259.541738432564
ENSMUSG00000025950	1897.14633798059	1891.4252332374	1449.99572027173	1511.04928343985
ENSMUSG00000025949	644.200466998792	623.257095272852	1070.05031763369	963.429803919833
ENSMUSG00000015222	142.421185334621	133.689588412001	16.8003069193695	25.8182881163284
ENSMUSG00000026005	376.184227930265	354.936442474116	505.301538882574	426.681182554059
ENSMUSG00000026004	569.684741338484	568.651488738372	634.53466903157	559.849194943542
ENSMUSG00000103382	21.0326645008934	30.1272311914369	18.0926382208594	24.4594308470479
ENSMUSG00000026003	1147.78254847733	1198.49891583435	1758.86290132783	1570.83900328819
ENSMUSG00000061816	1537.78824165104	1800.10206368836	1406.05645602108	1278.6846903929
ENSMUSG00000026000	480.746617163278	440.610756174765	387.699390446988	414.451467130535
ENSMUSG00000025997	272.222771968706	305.038215813299	308.8671810561	298.948599241697
ENSMUSG00000026196	60.6942604168638	61.1959383576063	40.0622703461887	28.5360026548893
ENSMUSG00000026192	1109.32281910426	1104.35131836111	794.783750416325	868.309795070202
ENSMUSG00000026193	99188.242986399	92724.085799445	90151.739260638	87437.0298491193
ENSMUSG00000039395	34.8541297443376	34.834611065099	874.908291108702	748.730355373523
ENSMUSG00000097131	73.914792388854	76.2595539533248	85.2938658983373	99.1965806574722
ENSMUSG00000026189	130.402519905539	136.514016336199	112.432823229626	101.914295196033
ENSMUSG00000026188	71.5110593030376	63.0788903070711	43.9392642506586	50.2777189633763
ENSMUSG00000026187	965.09883395528	997.023057241616	537.609821419823	562.566909482103
ENSMUSG00000039354	558.867942452311	514.987358178625	363.145095718678	437.552040708302
ENSMUSG00000046330	2538.94307189356	2710.50933125459	2654.44849326038	2835.93512098828
ENSMUSG00000039323	1277.58413511141	1383.96968285663	921.432217962341	907.716655879335
ENSMUSG00000026185	18741.3059368389	17592.4200638497	1029.9880472875	917.228656764298
ENSMUSG00000055322	3900.05693173709	3796.03113012105	1152.75952092904	1108.82753173284
ENSMUSG00000006304	2335.22669287062	2254.83495948411	2204.71720034187	2190.47791808007
ENSMUSG00000006299	1444.0426513042	1427.27757769432	1227.71473641546	1221.61268508312
ENSMUSG00000026179	262.006906353986	291.857552167045	175.757057002634	158.986300505812
ENSMUSG00000006301	1849.07167626426	1883.89342543954	1915.23498880812	1769.23216460313
ENSMUSG00000026177	19.8307979579852	23.5368993683101	74.9552154864176	82.8902934261069
ENSMUSG00000026176	1312.43826485575	1265.34371004035	966.663813514489	1040.88466826882
ENSMUSG00000033364	278.833037954701	300.330835939637	351.514114005269	361.456033628597
ENSMUSG00000026174	515.600746907616	521.577690001752	549.240803133232	600.614913021955
ENSMUSG00000026135	329.311432756845	292.799028141778	367.022089623148	375.044606321402
ENSMUSG00000026172	194.101446679673	193.944050794875	138.279449259426	110.067438811716
ENSMUSG00000026171	286.645170483604	305.038215813299	330.836813181429	303.025171049538
ENSMUSG00000033276	124.994120462452	144.98730010879	104.678835420687	93.7611515803505
ENSMUSG00000033257	623.768735769353	617.608239424457	672.012276774779	678.06977737094
ENSMUSG00000006542	321.499300227942	367.175630145638	82.7092032953574	63.8662916561807
ENSMUSG00000026167	220.542510623654	200.534382618002	63.324233773008	65.2251489254612
ENSMUSG00000026162	32.4503966585213	26.3613272925073	33.6006138387389	40.7657180784132
ENSMUSG00000033159	872.555110151349	887.811844172657	1190.23712867225	1221.61268508312
ENSMUSG00000049339	1160.40214717786	1120.35640993156	1230.29939901844	1266.45497496937
ENSMUSG00000026197	188.092113965132	245.725229405158	232.619634268193	245.95316573976
ENSMUSG00000026198	28.2438637583426	26.3613272925073	29.723619934269	33.971431732011
ENSMUSG00000033124	393.01035953098	429.313044477976	523.394177103433	483.753187863837
ENSMUSG00000026199	464.521418834017	467.913559442005	746.967492261196	797.649217067619
ENSMUSG00000026200	117.181987933549	124.274828664677	96.9248476117469	118.220582427398
ENSMUSG00000026201	480.746617163278	506.514074406034	382.530065241028	369.60917724428
ENSMUSG00000026202	911.014839524412	1013.9696247868	524.686508404923	475.600044248155
ENSMUSG00000026203	852.12337892191	818.142622042459	874.908291108702	740.577211757841
ENSMUSG00000026209	632.18180156971	644.911042691697	540.194484022803	536.748621365774
ENSMUSG00000026208	8785.6444286589	9433.58926681869	4289.24758964517	3806.15921125452
ENSMUSG00000026207	920.028838596223	997.023057241616	606.103380398791	576.155482174907
ENSMUSG00000033021	700.688194515478	778.600631103698	794.783750416325	849.285793300276
ENSMUSG00000032997	765.58898783252	742.824544063867	566.041110052602	593.820626675553
ENSMUSG00000026211	1252.94587098179	1298.29536915599	830.969026858043	934.893801264944
ENSMUSG00000032968	56.4877275166851	53.6641305597471	77.5398780893975	85.6080079646678
ENSMUSG00000026213	374.982361387357	348.34611065099	407.084359969337	404.939466245572
ENSMUSG00000006576	604.538871082822	641.145138792767	472.993256345325	449.781756131826
ENSMUSG00000026235	31.8494633870672	32.9516591156342	46.5239268536385	39.4068608091328
ENSMUSG00000026245	606.341670897184	670.330894009472	562.164116148132	513.648047788007
ENSMUSG00000099364	27.6429304868885	33.8931350903666	7.75398780893975	14.9474299620849
ENSMUSG00000032883	3391.66738408693	3252.79949270046	1614.12179556096	1614.32243590516
ENSMUSG00000079470	308.879701527406	327.633639206877	208.065339539883	205.187447661347
ENSMUSG00000047330	126.19598700536	129.923684513072	23.2619634268193	20.3828590392066
ENSMUSG00000050711	294.457303012508	300.330835939637	227.450309062233	266.336024778967
ENSMUSG00000054702	57.6895940595933	62.1374143323387	84.0015345968473	89.6845797725091
ENSMUSG00000073643	774.002053632877	756.005207710121	1084.26596195008	1062.62638457731
ENSMUSG00000026248	206.120112108755	234.427517708369	242.958284680112	218.776020354151
ENSMUSG00000026249	2897.70023495166	3011.78164316896	4530.91354302379	4319.80725904252
ENSMUSG00000004364	1497.52571246361	1498.82975177399	1545.62823658199	1502.89613982417
ENSMUSG00000038608	81.1259916463031	88.498741624846	43.9392642506586	32.6125744627306
ENSMUSG00000055980	1813.61661324847	1763.38450067379	686.227921091168	577.514339444188
ENSMUSG00000026142	500.577415121263	520.63621402702	696.566571503088	694.376064602306
ENSMUSG00000026150	853.325245464818	888.75332014739	834.846020762513	800.36693160618
ENSMUSG00000101450	25.2391974010721	26.3613272925073	29.723619934269	27.1771453856088
ENSMUSG00000026159	909.212039710049	907.582839642038	1950.12793394835	1848.0458862214
ENSMUSG00000045658	611.149137068817	555.470825092119	575.087429163032	562.566909482103
ENSMUSG00000026219	4503.99486954846	4584.98799694681	4673.06998618769	4618.75585828422
ENSMUSG00000073633	64.9007933170425	74.3766020038599	27.1389573312891	27.1771453856088
ENSMUSG00000096802	2.40373308581639	3.76590389892962	47.8162581551285	36.6891462705719
ENSMUSG00000064281	64.9007933170425	80.0254578522544	80.1245406923774	84.2491506953874
ENSMUSG00000089844	9.01399907181146	11.2977116967889	157.664418781775	138.603441466605
ENSMUSG00000072109	6.61026598599507	6.59033182312683	63.324233773008	38.0480035398524
ENSMUSG00000089716	19.8307979579852	22.5954233935777	49.1085894566184	46.201147155535
ENSMUSG00000079457	13.2205319719901	18.8295194946481	112.432823229626	86.9668652339483
ENSMUSG00000090186	4.80746617163278	6.59033182312683	76.2475467879076	50.2777189633763
ENSMUSG00000026222	275.828371597431	309.745595686961	1253.56136244526	1059.90867003874
ENSMUSG00000036707	1069.66122318829	1045.9798079277	1223.83774251099	1137.36353438773
ENSMUSG00000026223	1498.72757900652	1496.00532384979	1791.17118386508	1788.25616637306
ENSMUSG00000026229	2344.84162521389	2274.60595495349	2291.3033975417	2224.44934981208
ENSMUSG00000026228	60.6942604168638	64.0203662818035	9.04631911042971	9.51200088496309
ENSMUSG00000062590	186.890247422224	177.938959224424	103.386504119197	145.397727813007
ENSMUSG00000026234	6175.79123073376	6563.97049583432	7085.85252606944	7007.62693767924
ENSMUSG00000026238	5121.15333933182	4935.21705954726	5893.03073479421	6529.30917889252
ENSMUSG00000026239	357.555296515188	337.989874928933	314.03650626206	357.379461820756
ENSMUSG00000026240	257.199440182354	279.618364495524	231.327302966703	248.670880278321
ENSMUSG00000053333	284.241437397788	336.106922979468	270.097242011401	252.747452086162
ENSMUSG00000084106	43.8681288161491	47.0737987366202	60.7395711700281	51.6365762326568
ENSMUSG00000026251	1004.76042987125	1153.3080690472	488.501231963204	468.805757901752
ENSMUSG00000026253	1648.96089687004	1950.73821964554	653.919638553919	691.658350063745
ENSMUSG00000026254	1222.29827413763	1225.80171910159	953.74050049959	906.357798610054
ENSMUSG00000048000	1556.41717306611	1487.5320400772	1663.23038501758	1542.3030006333
ENSMUSG00000026259	129.801586634085	126.157780614142	73.6628841849276	73.3782925411438
ENSMUSG00000026289	407.432758045878	475.445367239864	567.333441354092	529.954335019372
ENSMUSG00000070738	602.135137997006	618.54971539919	942.10951878618	813.955504298984
ENSMUSG00000005501	633.984601384073	680.687129731528	712.074547120967	669.916633755258
ENSMUSG00000090124	19.8307979579852	10.3562357220564	12.9233130148996	9.51200088496309
ENSMUSG00000090145	27.0419972154344	21.6539474188453	15.5079756178795	21.7417163084871
ENSMUSG00000079429	34.2531964728836	39.541990938761	37.4776077432088	59.7897198483394
ENSMUSG00000044783	898.99617409533	910.407267566235	1225.13007381248	1190.35896788967
ENSMUSG00000049866	310.682501341768	279.618364495524	745.675160959706	770.47207168201
ENSMUSG00000036206	469.32888500565	462.264703593611	316.62116886504	345.149746397232
ENSMUSG00000055013	616.557536511904	619.491191373922	343.760126196329	347.867460935793
ENSMUSG00000044337	303.471302084319	293.74050411651	776.691112195465	885.974939570848
ENSMUSG00000034432	634.585534655527	640.203662818035	650.042644649449	584.30862579059
ENSMUSG00000048126	4791.84190657497	4725.26791718194	728.874854040337	789.496073451936
ENSMUSG00000026305	1435.02865223238	1525.1910790665	2896.114446639	2850.88255095037
ENSMUSG00000034343	414.643957303327	415.19090485699	439.392642506586	400.86289443773
ENSMUSG00000026307	156.843583849519	146.870252058255	157.664418781775	153.55087142869
ENSMUSG00000026308	487.957816420727	487.684554911385	236.496628172662	217.417163084871
ENSMUSG00000047443	58.8914606025015	68.7277461554655	19.3849695223494	17.6651445006457
ENSMUSG00000026309	516.20168017907	527.226545850146	532.440496213863	508.212618710885
ENSMUSG00000067071	735.542324259815	758.829635634318	456.192949425955	463.370328824631
ENSMUSG00000055866	332.91703238557	309.745595686961	236.496628172662	258.182881163284
ENSMUSG00000034292	209.72571173748	179.821911173889	218.403989951803	243.235451201199
ENSMUSG00000026311	339.527298371565	359.643822347778	286.897548930771	305.742885588099
ENSMUSG00000007805	28.8447970297967	34.834611065099	34.8929451402289	25.8182881163284
ENSMUSG00000026313	584.107139853383	613.842335525528	421.300004285727	426.681182554059
ENSMUSG00000026260	936.254036925484	978.193537746968	788.322093908875	750.089212642804
ENSMUSG00000073616	374.381428115903	388.829577564483	253.296935092032	300.307456510978
ENSMUSG00000034220	10405.7605284991	9713.20763131422	6575.38166198091	5995.27827206531
